[07/09/2021-11:11:07]	[PLACED]	[07/09/2021-11:11:07]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6291.803223, 205.234268, 1395.694824>, Target: BBP_T3_Wall | Player: Doc [76561198139872259]
[07/09/2021-11:11:13]	[ARMED]		[07/09/2021-11:11:13]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6291.029297, 205.907272, 1394.092041>, Target: BBP_T3_Wall | Player: Doc [76561198139872259]
[07/09/2021-11:14:13]	[EXPLODED]	[07/09/2021-11:14:13]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6291.029297, 205.907272, 1394.092041>, Target: BBP_T3_Wall, Damage done: 2 | Player: Doc [76561198139872259]
[07/09/2021-11:18:32]	[PLACED]	[07/09/2021-11:18:32]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6292.991699, 205.060181, 1394.162720>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:18:43]	[ARMED]		[07/09/2021-11:18:43]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6292.830566, 205.870728, 1393.402954>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:19:35]	[PLACED]	[07/09/2021-11:19:35]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6290.074707, 205.322968, 1394.697510>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:20:21]	[PLACED]	[07/09/2021-11:20:21]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6290.076172, 205.314056, 1396.544189>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:20:25]	[ARMED]		[07/09/2021-11:20:25]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6290.150879, 206.112961, 1395.881104>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:20:29]	[ARMED]		[07/09/2021-11:20:29]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6289.937500, 206.202454, 1395.148438>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:21:10]	[PLACED]	[07/09/2021-11:21:10]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6291.734375, 205.141205, 1392.745117>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:21:14]	[ARMED]		[07/09/2021-11:21:14]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6291.790527, 205.988342, 1393.432007>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
[07/09/2021-11:21:43]	[EXPLODED]	[07/09/2021-11:21:43]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6292.830566, 205.870728, 1393.402954>, Target: BBP_T3_Gate, Damage done: 2 | Player: Doc [76561198139872259]
[07/09/2021-11:23:25]	[EXPLODED]	[07/09/2021-11:23:25]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6290.150879, 206.112961, 1395.881104>, Target: BBP_T3_Gate, Damage done: 2 | Player: Doc [76561198139872259]
[07/09/2021-11:23:25]	[DESTROYED]	[07/09/2021-11:23:25]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <6290.150879, 206.112961, 1395.881104>, Target: BBP_T3_Gate | Player: Doc [76561198139872259]
